Artiste,Nom musique,Album,user_id,track_duration
Imagine Dragons,Enemy,Mercury - Acts 1 & 2,4,152
Imagine Dragons,Believer,Evolve,3,195
Hans Zimmer,Cornfield Chase,Interstellar,3,124
Ludovico Einaudi,Experience,In a Time Lapse,3,309
Ryuichi Sakamoto,Bibo No Aozora,Playing the Piano 12122020,3,366
Logic,Homicide,Confessions of a Dangerous Mind,8,243
Chris Grey,Wrong,Funhouse/Wrong,8,155
Jyeuhair,Brook,Laventur,8,206
Stellar,Daredevil,Daredevil,8,129
Babymonster,We Go Up,We Go Up,8,186
Samurai,Black Dog,Black Dog,8,254
Eminem,Godzilla,Music To Be Murdered By,8,198
SiM,The Rumbling,The Rumbling,8,204
The Notorious B.I.G,Hypnotize,I Got a Story to Tell,8,210
Bershy,Radio,Radio,8,193
Lisa,Rockstar,Alter Ego,8,131
Lisa,Lifestyle,Alter Ego,8,145
Sawano Hiroyuki,Voices of the Chord,Eighty-Six,8,182
Evan Call,The Ultimate Price,Violet Evergarden : Autememories,8,156
MIRANI,Can't Slow Me Down,Can't Slow Me Down,8,131
Madcon,Beggin,So Dark The Con of Man,8,202
LMFAO,Party Rock Anthem,Sorry For Party Rocking,8,254
Frenetics,I Feel a Man,I Feel a Man,8,191
Coldplay,Viva la vida,Viva la Vida or Death and All His Friends,58,242
Kik,Dernier Texto,Puzzle,1,193
LauCarré,Maman s'inquiète,Les dés sont jetés,1,137
TeZATalks,STFD,Chaos,1,208
Laurie Darmon,Laisse-moi t'aimer,Femme Studio,1,215
Camellia,crystalized,crystalized,2,433
Lena Raine,Farewell,Celeste: Farewell (Original Soundtrack),4,492
Yoasobi,Undead,Undead,4,132
Starset,Echo,Divisions,6,202
Starset,My Demons,Transmissions,5,269
Monster Siren Records,Battleplan Pyrolysis,Battleplan Pyrolysis,5,203
Monster Siren Records,Operation Blade,Operation Blade,5,215
Electric Callboy,Electric Callboy,Tekkno,5,196
"Konomi Suzuki",Realize,Ultra Flash,5,242
Memphis May Fire,Misery,Remade In Misery,5,188
Sān-Z,Come Alive,Come Alive,5,242
We Came As Romans,Black Hole,Darkbloom,5,156
Landmvrks,Creature,Blood Red,5,207
One Ok Rock,Whenever You Are,Niche Syndrome,6,273
TRIGGER,Escape From Now,Trois,6,254
Ado,Show,Zanmu,6,186
The Warning,More,Keep Me Fed,6,185
AURORA,The Seed,A Different Kind Of Human - Step 2,6,256
Queen Bee,Zero Ichi,Zero Ichi,6,184
Lenaïg,Internet,Internet,6,186
Copycat,Oulala,Oulala,6,150
BAND-MAID,Forbidden Tale,Epic Narratives,6,261
Alexia Evellyn,Savage Daughters,Dark Side EP,6,209
Sail North,Tales of Luria,Tales of Luria,10,206
SKÁLD,Gleipnir,Le chant des Vikings,10,245
Cast of EPIC: The Musical,Warrior of the Mind,EPIC: The Troy Saga,10,197
Marino,Devil In Disguise,Devil In Disguise,10,87
Ado,Usseewa,Kyougen,9,196
Jamie Berry,Lost In The Rythm,Lost In The Rythm,9,184
iAmJakeHill,Suicidal Thoughts,Better Off Dead,9,181
Josh A,Pain,Fearless,9,185
S3RL,Mtc,Mtc,9,252
Lindsey Stirling,Carol Of The Bells,Warmer In The Winter,9,148
Casey Lee Williams,Inside,"RWBY, Vol.9",9,204
Sumika,フィクション (Fikushon),Chime,9,210
Infected Mushroom,Becoming Insane,Vicious Delicious,9,432
Port Sulphur Band,Rise up Dead Man,Rise up Dead Man Anniversary Collection,9,191
Aimer,Zankyosanka,Open a Door,9,183
The Blues Brothers,Everybody Needs Somebody to Love,The Blue Brothers Original Motion Picture Soundtrack,9,194
AJ Dispirito,Bite Me,Murder Dromes Volume 3,9,182
FZMZ,Broken Games,Broken Games,9,214
Alice Duport-Percier,Lumière,Clair Obscur : Expédition 33,9,206
